No;nama;npsn;bentuk_pendidikan;alamat_jalan;desa_kelurahan;kecamatan;kabupaten;provinsi;status_sekolah
1;PKBM SEKOLAH INDONESIA JEDDAH;P9963148;PKBM;5415 Al Zilaq St, Al Rehab Dist 7187, Jeddah K.S.A;Jeddah;Jeddah;Arab Saudi;Luar Negeri;NEGERI
2;PKBM Sekolah Indonesia Riyadh;P9970436;PKBM;8561 Abdullah Ibn Muammar, Umm Al Hamam Al Gharbi? 3536, Riyadh 12328;Riyadh;Riyadh;Arab Saudi;Luar Negeri;NEGERI
3;PKBM BINTANG NUSANTARA LEARNING CENTER BRUNEI DARRUSALLAM;P9980005;PKBM;Jln Pasir Beraka, Bandar Seri Begawan, No. AF7 Simpang 145;Pasir Beraka;Bandar Seri Begawan;Brunei Darussalam;Luar Negeri;SWASTA
4;PKBM BINTANG NUSANTARA LEARNING CENTER BRUNEI DARRUSALLAM;P9980006;PKBM;Jln Pasir Beraka, Bandar Seri Begawan, No. AF7 Simpang 145;Pasir Beraka;Bandar Seri Begawan;Brunei Darussalam;Luar Negeri;SWASTA
5;PKBM PEKING;P9996737;PKBM;Beijing 100600, Chayong District, No. 4 Dongzhimen Wai Street;Chaoyang;Beijing;Cina;Luar Negeri;SWASTA
6;PKBM BINTANG NUSANTARA LEARNING CENTER (BNLC);P9959980;PKBM;Room 1C 1st Floor Wing Lok Trade Center 235;Sheung Wang;Hong Kong;Cina;Luar Negeri;SWASTA
7;PKBM NISHIO DARUSSALAM;P9997325;PKBM;Ichigawara  79 5 Tanuki  NIshio Aichi Jepang;Tokyo;Tokyo;Japan;Luar Negeri;NEGERI
8;SEKOLAH INDONESIA TERBUKA (SIT) Johor Bahru;P9956857;PKBM;No 46 Jalan Taat 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
9;PKBM SEKOLAH INDONESIA TERBUKA (SIT) Johor Bahru;P9956777;PKBM;No 46 Jalan Taat 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
10;PKBM Sekolah Indonesia Johor Bahru;P9956851;PKBM;Jl. Taat No 46 80100;Johor Bahru;Johor Bahru;Malaysia;Luar Negeri;NEGERI
